feature,importance_mean,importance_std
age,0.12745947034538319,0.0033173700857374692
age_group_encoded,0.04840398751384558,0.001069500070958
gender_short,0.02414661162017928,0.0014472052541111078
length_of_service,0.012184070083576703,0.0004248318016257822
city_name,0.0033027892457960562,0.0006220298141770536
department_name,0.0,0.0
age_group,0.0,0.0
store_name,0.0,0.0
BUSINESS_UNIT,0.0,0.0
STATUS_YEAR,0.0,0.0
is_senior_male,0.0,0.0
is_young_female,0.0,0.0
job_title,-0.007481623200080489,0.0008401229235169047
relative_service,-0.008629543852582766,0.0005404787795919808
